GPIO,Power Domain,ADC,HS/QSPI,Touch,Debug,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO39,CPU,,,,MTCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO40,CPU,,,,MTDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO41,CPU,,,,MTDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO42,CPU,,,,MTMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO43,CPU,,,,U0TXD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO44,CPU,,,,U0RXD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO45,CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO46,CPU,,,,,INPUT ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPTION,The,RP2040,,Pi,Raspberry,Cortex-M0+,running,at,up,to,133MHz,with,264kB,on-chip,SRAM,and,built,in,USB.,Flash,memory,is,provided,by,external,QSPI,chip.,All,GPIO,is,3.3V,in/out,max,unless,otherwise,stated.
