GPIO,INT,DAC/AREF,ADC,SERCOM,SERCOM Alt,Timer,Timer Alt,Timer Alt2,QSPI/CAN,Special,I2S,PCC
PC00,0,,A1[10],,,,,,,,,
PC01,1,,A1[11],,,,,,,,,
PC02,2,,A1[4],,,,,,,,,
PC03,3,,A1[5],,,,,,,,,
PC04,4,,,S6.0,,,TCC[0],,,,,
PC05,5,,,S6.1,,,,,,,,
PC06,6,,,S6.2,,,,,,SDCD,,
PC07,9,,,S6.3,,,,,,SDWP,,
PC10,10,,,S6.2,S7.2,,TCC0[0],TCC1[4],,,,
PC11,11,,,S6.3,S7.3,,TCC0[1],TCC1[5],,,,
PC12,12,,,S7.0,S6.1,,TCC0[2],TCC1[6],,,,DATA10
PC13,13,,,S7.1,S6.0,,TCC0[3],TCC1[7],,,,DATA11
PC14,14,,,S7.2,S6.2,,TCC0[4],TCC1[0],,,,DATA12
PC15,15,,,S7.3,S6.3,,TCC0[5],TCC1[1],,,,DATA13
PC16,0,,,S6.0,S0.1,,TCC0[0],,,,,
PC17,1,,,S6.1,S0.0,,TCC0[1],,,,,
PC18,2,,,S6.2,S0.2,,TCC0[2],,,,,
PC19,3,,,S6.3,S0.3,,TCC0[3],,,,,
PC20,4,,,,,,TCC0[4],,,SDCD,,
PC21,5,,,,,,TCC0[5],,,SDWP,,
PC22,6,,,S1.0,S3.1,,TCC0[6],,,,,
PC23,7,,,S1.1,S3.0,,TCC0[7],,,,,
PC24,8,,,S0.2,S2.2,,,,,,,
PC25,9,,,S0.3,S2.3,,,,,,,
PC26,10,,,,,,,,,,,
PC27,11,,,S1.0,,,,,,,,
PC28,12,,,S1.1,,,,,,,,
PC30,14,,A1[12],,,,,,,,,
PC31,15,,A1[13],,,,,,,,,
PD00,0,,A1[7],,,,,,,,,
PD01,1,,A1[15],,,,,,,,,
PD08,3,,,S7.0,S6.1,,TCC0[1],,,,,
PD09,4,,,S7.1,S6.0,,TCC0[2],,,,,
PD10,5,,,S7.2,S6.2,,TCC0[3],,,,,
PD11,6,,,S7.3,S6.3,,TCC0[4],,,,,
PD12,7,,,,,,TCC0[5],,,,,
PD20,10,,,S1.2,S3.2,,TCC1[0],,,SDCD,,
PD21,11,,,S1.3,S3.3,,TCC1[1],,,SDWP,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
DESCRIPTION,"The Microchip (nee Atmel) SAMD51 is an ARM Cortex-M4F running at 120 MHz with 192 or 256kB on-chip SRAM, up to 1MB Flash memory and built in USB. All GPIO is 3.3V in/out max unless otherwise stated. SERCOMs can be used as UART (TX on SERCOM pad 0, RX on any pad), I2C (SDA on pad 0, SCL on pad 1), or SPI (SCK on pad 1, MOSI on pad 0 or 3, MISO on any pad remaining) ",,,,,,,,,,,
